OBJECTID,BPID,Miles,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type
190,1656,0.4,Neighborhood,Lane,Valmar Rd,Mulholland Dr,Ventura Co Line (Peacock Ct),2050.79203219,2005-01-01T00:00:00.000Z,,Bike Lane
191,1678,0.04,Neighborhood,Lane,Vineland Av,Chandler Bl N,Chandler Bl S,206.9030152,2006-06-30T00:00:00.000Z,,Bike Lane
192,1730,2,Neighborhood,Lane,Wilbur Av,Nordhoff St,Chatsworth St,10564.9978998,2010-11-19T00:00:00.000Z,,Bike Lane
193,1749,3,Neighborhood,Lane,Woodley Av,Rinaldi St,Nordhoff St,15840.7325796,2005-01-01T00:00:00.000Z,,Bike Lane
194,1750,1,Neighborhood,Lane,Woodley Av,Sherman Wy,Victory Bl,5330.95018584,2005-01-01T00:00:00.000Z,,Bike Lane
195,1762,0.2,Neighborhood,Lane,Av 18,Barranca St,Broadway/Spring St,1271.3118382,2012-01-15T00:00:00.000Z,,Bike Lane
196,1763,0.07,Neighborhood,Lane,Barranca St,Av 18,Av 19,391.18524115,2012-01-15T00:00:00.000Z,,Bike Lane
197,1764,0.25,Backbone,Lane,Riverside Dr,N Woodman Av,Sunnyslope Av,1320.38763307,2011-07-05T00:00:00.000Z,,Bike Lane
198,1765,0.5,Backbone,Lane,Riverside Dr,Fulton Av,Coldwater Canyon Av,2640.39593512,2011-07-05T00:00:00.000Z,,Bike Lane
199,1766,1.29,Backbone,Lane,Wentworth St,Wheatland Av,Foothill Bl,6711.62034073,2011-07-05T00:00:00.000Z,,Bike Lane
200,1767,3.4,Backbone,Lane,Exposition Bl,Harcourt Av,Vermont Av,24766.701313,2011-06-01T00:00:00.000Z,,Bike Lane
201,1769,0.3,Backbone,Lane,Sheldon St,Glenoaks Bl,Wentworth St,1717.39880966,2011-07-05T00:00:00.000Z,,Bike Lane
202,1771,0.81,Backbone,Sharrowed Route,Adams Bl,Vermont Av,Chester Pl,4271.7982648,2010-07-07T00:00:00.000Z,,Sharrowed Bike Route
203,1774,1,Neighborhood,Sharrowed Route,Fountain Av,Western Av,Vermont Av,5292.02543,2010-07-14T00:00:00.000Z,,Sharrowed Bike Route
204,1776,0.5,Neighborhood,Sharrowed Route,Fountain Av,Vermont Av,Sunset Bl,2310.0909647,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
205,1777,0.8,Backbone,Sharrowed Route,Reseda Bl,Valerio St,Vanowen St,3968.24405776,2010-07-16T00:00:00.000Z,,Sharrowed Bike Route
206,1778,1.3,Neighborhood,Sharrowed Route,Westholme Av,Hilgard Av,Santa Monica Bl,6664.92359307,2010-07-20T00:00:00.000Z,,Sharrowed Bike Route
207,1781,0.5,Neighborhood,Lane,Woodley Av,Sherman Wy,Saticoy St,2600.94956611,2010-10-19T00:00:00.000Z,,Bike Lane
208,1782,0.31,Neighborhood,Lane,Woodley Av,Saticoy St,Stagg St,1319.1223402,2011-07-15T00:00:00.000Z,,Bike Lane
209,1783,0.8,Neighborhood,Route,Woodley Av,Stagg St,Chase St,4732.15663246,2005-01-01T00:00:00.000Z,,Bike Route
210,1784,0.5,Backbone,Lane,Woodman Av,Burbank Bl,Oxnard St,2646.79632673,2009-06-30T00:00:00.000Z,,Bike Lane
211,1785,1,Backbone,Lane,Woodman Av,Oxnard St,Vanowen St,5289.87674747,2011-03-19T00:00:00.000Z,,Bike Lane
212,1786,0.4, ,Lane,Via Dolce,Marquesas Wy,Washington Bl,1964.57642808,2011-07-22T00:00:00.000Z,,Bike Lane
213,1787,1.5,Backbone,Lane,Jefferson Bl,La Cienega Bl,Harcourt Av,6488.52613197,2011-08-23T00:00:00.000Z,,Bike Lane
214,1789,1.5,Backbone,Lane,7th St,Rampart Bl,Figueroa St,7995.39727703,2011-08-30T00:00:00.000Z,,Bike Lane
215,1790,0.7,Neighborhood,Lane,7th St,Catalina St,Rampart Bl,3698.86692749,2011-08-30T00:00:00.000Z,,Bike Lane
216,1791,0.6,Backbone,Lane,Cahuenga Bl E,Yucca St,Odin St (Northern-most),2801.34414169,2011-09-05T00:00:00.000Z,,Bike Lane
217,1793,1.6,Backbone,Lane,1st St,Boyle Av,Lorena St,8443.29928728,2011-09-05T00:00:00.000Z,,Bike Lane
218,1796,0.5,Backbone,Lane,Reseda Bl,Parthenia St,Roscoe Bl,3283.11546987,2011-09-12T00:00:00.000Z,,Bike Lane
219,1797,1.2,Backbone,Lane,Tuxford St,Lankershim Bl,Glen Oaks Bl,7100.73107759,2011-09-23T00:00:00.000Z,,Bike Lane
220,1799,0.54,Backbone,Lane,Vermont Av,Knox St,Del Amo Bl,2910.34607104,2011-11-13T00:00:00.000Z,,Bike Lane
221,1800,1.4,Backbone,Lane,Spring St,Cesar E Chavez Av,9th St,7657.2049417,2011-11-20T00:00:00.000Z,,Bike Lane
222,1801,0.77,Backbone,Lane,Washington Pl,Grand View Bl,25' w/o Albright Av,3906.58433083,2011-12-11T00:00:00.000Z,,Bike Lane
223,1803,0.16,Neighborhood,Lane,Av 19,500 ft N/o Humbolt St,Barranca St,869.76905257,2012-01-15T00:00:00.000Z,,Bike Lane
224,1804,0.2,Neighborhood,Lane,Av 19,Barranca St,Broadway,1270.93466308,2012-01-15T00:00:00.000Z,,Bike Lane
225,1806,0.8,Neighborhood,Lane,Main St,Santa Monica City Limits,Grand Av,4665.63050331,2012-01-29T00:00:00.000Z,,Bike Lane
226,1808,1.5,Backbone,Lane,Foothill Bl,Wheatland Av,Wentworth St,8033.47757585,2012-02-05T00:00:00.000Z,,Bike Lane
227,1810,0.98,Backbone,Lane,Aviation Bl,Century Bl,Imperial Hwy,5310.05462915,2012-02-19T00:00:00.000Z,,Bike Lane
228,1812,0.76,Backbone,Lane,Main St,Venice Bl,9th St,3749.56353175,2012-02-12T00:00:00.000Z,,Bike Lane
229,1814,1.4,Backbone,Route,Main St,Broadway Pl,Venice Bl,7147.39683941,2005-01-01T00:00:00.000Z,,Bike Route
230,1818,1,Green,Path,Balboa Bl E,Victory Bl,Burbank Bl,5119.75770345,2005-01-01T00:00:00.000Z,,Bike Path
231,1819,1,Green,Path,Balboa Bl W,Victory Bl,Burbank Bl,5199.51087151,2005-01-01T00:00:00.000Z,,Bike Path
232,1820,1.4,Backbone,Sharrowed Route,Arden Bl,Wilshire Bl,Arden Pl,7585.0652148,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
233,1821,0.05,Backbone,Sharrowed Route,Arden Pl,Arden Bl,Rossmore Av,256.53426757,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
234,1822,0.1,Backbone,Sharrowed Route,Vine St,Hollywood Bl,Yucca St,774.74886139,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
235,1826,0.1,Neighborhood,Sharrowed Route,La Mirada Av,Bronson Av,Van Ness Av,662.83398168,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
236,1828,0.07,Neighborhood,Sharrowed Route,Van Ness Av,La Mirada Av,Fountain Av,348.68047998,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
237,1829,0.05,Green,Path,Ballona Creek,St Nicholas Av,285' s/o St Nicholas Av,284.2288707,2005-01-01T00:00:00.000Z,,Bike Path
238,1830,0.91,Green,Path,Browns Canyon Wash,314' s/o Rinaldi St,Devonshire St,4840.58810656,2005-01-01T00:00:00.000Z,,Bike Path
239,1831,0.47,Green,Path,Browns Canyon Wash,192' s/o Devonshire St,Lassen St,2525.57217926,2005-01-01T00:00:00.000Z,,Bike Path
240,1832,0.23,Green,Path,Ballona Creek Path,Los Angeles city limit,62nd,1199.5433428,2005-01-01T00:00:00.000Z,,Bike Path
241,1833,0.6,Backbone,Sharrowed Route,Laurel Canyon Bl,Oxnard St,Hamlin St,6632.76606113,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
242,1834,0.3,Neighborhood,Sharrowed Route,McConnell Av,Culver Bl,Ballona Creek Path,1434.66259803,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
243,1835,0.9,Backbone,Sharrowed Route,Motor Av,Monte Mar Dr,Manning Av,4977.0624046,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
244,1837,0.4,Backbone,Sharrowed Route,Venice Bl (North),Ocean Front Walk,Venice Wy,2055.7057542,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
245,1838,0.4,Backbone,Sharrowed Route,Polk St,Sunrise Ridge Rd,San Fernando Rd,1767.12303415,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
246,1839,0.51,Neighborhood,Sharrowed Route,State St,Cesar E Chavez Av,Fourth St,2790.47729897,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
247,1841,0.48,Neighborhood,Sharrowed Route,Breed St,4th St,Cesar E Chavez Av,2553.98185486,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
248,1842,0.47,Neighborhood,Sharrowed Route,Mott St,4th St,Cesar E Chavez Av,2567.01059827,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
249,1843,2.6,Neighborhood,Sharrowed Route,51st St,Hoover St,Long Beach Av,13139.3873031,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
250,1846,2.3,Backbone,Sharrowed Route,Redondo Bl,La Brea Av,Jefferson Bl,12129.0913108,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
251,1847,0.7,Neighborhood,Sharrowed Route,Gayley Av,Le Conte Av,Landfair Av,3502.02773555,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
252,1848,0.1,Neighborhood,Route,Gayley Av,Landfair Av,Veteran Av,3320.30904538,2005-01-01T00:00:00.000Z,,Bike Route
253,1849,0.83,Neighborhood,Sharrowed Route,Heliotrope Dr,Santa Monica Bl,Rosewood Av,4299.66458786,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
254,1850,0.8,Neighborhood,Sharrowed Route,New Hampshire Av,Rosewood Av,4th St,4250.38826286,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
255,1851,0.12,Neighborhood,Sharrowed Route,Rosewood Av,New Hampshire Av,Heliotrope Dr (east jog),624.41431716,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
256,1854,0.8,Backbone,Lane,Devonshire St,Sepulveda Bl,Woodman Av,3990.28109478,2012-02-26T00:00:00.000Z,,Bike Lane
257,1856,1.08,Backbone,Lane,Eagle Rock Bl,Verdugo Rd,Cypress Av,10418.6794697,2005-01-01T00:00:00.000Z,,Bike Lane
258,1857,0.61,Neighborhood,Lane,Rampart Bl,6th St,Beverly Bl,2912.17222618,2012-03-04T00:00:00.000Z,,Bike Lane
259,1859,0.2,Neighborhood,Route,Rampart Bl,Beverly Bl,Temple St,1249.24052119,2005-01-01T00:00:00.000Z,,Bike Route
260,1861,0.3,Neighborhood,Lane,Vineland Av,Chandler Bl N,Burbank Bl,1478.74343334,2012-03-11T00:00:00.000Z,,Bike Lane
261,1863,2.5,Backbone,Lane,Devonshire St,Reseda Bl,Hayvenhurst Av,12856.1857753,2012-03-31T00:00:00.000Z,,Bike Lane
262,1864,0.2,Backbone,Lane,National Pl,Malcolm Av,Overland Av,860.56530189,2012-03-11T00:00:00.000Z,,Bike Lane
263,1865,0.1,Backbone,Lane,Westwood Bl,National Bl,Malcolm Av,675.88863958,2012-03-11T00:00:00.000Z,,Bike Lane
264,1866,1.6,Backbone,Route,Westwood Bl,Santa Monica Bl,National Bl,8394.82480945,2005-01-01T00:00:00.000Z,,Bike Route
265,1867,0.3,None,Route,Foothill Pl,Foothill Bl,Foothill Bl,1999.07814864,2012-02-05T00:00:00.000Z,,Bike Route
266,1868,0.5,Backbone,Lane,Woodman Av,Lassen St,Devonshire Av,2789.48225815,2005-01-01T00:00:00.000Z,,Bike Lane
267,1869,0.8,Neighborhood,Lane,Woodley Av,Nordhoff St,Chase St,3960.26956177,2005-01-01T00:00:00.000Z,,Bike Lane
268,1870,0.86,Backbone,Lane,Chandler Bl,Woodman Av,Leghorn Av,9282.15024562,2011-12-18T00:00:00.000Z,,Bike Lane
269,1871,0.3,Backbone,Lane,La Tuna Canyon Rd,Glenoaks Bl,Sunland Bl,1318.24367674,2012-04-06T00:00:00.000Z,,Bike Lane
270,1872,0.51,Neighborhood,Lane,Sesnon Bl,Tampa Av,Reseda Bl,2319.090858,2012-05-13T00:00:00.000Z,,Bike Lane
271,1873,0.1,Neighborhood,Lane,Sesnon Bl,Reseda Bl,Beaufait Av,660.54810356,2012-05-13T00:00:00.000Z,,Bike Lane
272,1875,1.2,Backbone,Lane,Sepulveda Bl,National Bl,Venice Bl,6251.13933476,2012-04-06T00:00:00.000Z,,Bike Lane
273,1877,0.7,Backbone,Lane,Van Nuys Bl,Bessemer St,Chandler Bl,4187.29408928,2012-04-15T00:00:00.000Z,,Bike Lane
274,1879,1.9,Backbone,Lane,White Oak Av,Roscoe Bl,Vanowen St,9867.68008539,2012-05-06T00:00:00.000Z,,Bike Lane
275,1881,1.01,Backbone,Lane,Main St,92nd St,108th St,5287.27212272,2012-04-28T00:00:00.000Z,,Bike Lane
276,1884,0.9,Backbone,Lane,York Bl,Av 55,Figueroa St N,4632.55396959,2012-07-01T00:00:00.000Z,,Bike Lane
277,1886,0.6,Backbone,Lane,Laurel Canyon Bl,Rinaldi St,Crestknoll Dr,3383.0844365,2012-05-13T00:00:00.000Z,,Bike Lane
278,1888,0.9,Neighborhood,Lane,Colfax Av,Riverside Dr,Chiquita St,4769.22716178,2005-04-11T00:00:00.000Z,,Bike Lane
279,1889,0.2,Backbone,Lane,Reseda Bl,Kittridge St,Vanowen St,1320.72520122,2009-06-30T00:00:00.000Z,,Bike Lane
280,1890,1.5,Backbone,Lane,Reseda Bl,Ventura Bl,Kittridge St,7803.74050133,2005-01-01T00:00:00.000Z,,Bike Lane
281,1891,1,Backbone,Lane,Reseda Bl,San Fernando Mission,Devonshire St,5235.16047129,2010-05-19T00:00:00.000Z,,Bike Lane
282,1895,0.3,Backbone,Lane,Reseda Bl,Mecca Av,Ventura Bl,1015.53940152,2006-07-13T00:00:00.000Z,,Bike Lane
283,1896,1.3,Backbone,Lane,Rinaldi St,Mason Av,Tampa Av,6809.63928878,2010-09-19T00:00:00.000Z,,Bike Lane
284,1897,0.71,Backbone,Lane,Rinaldi St,De Soto Av,Mason Av,3799.80519475,2005-01-01T00:00:00.000Z,,Bike Lane
285,1898,6.1,Backbone,Lane,Rinaldi St,Tampa Av,Laurel Canyon Bl,31200.0430088,2005-01-01T00:00:00.000Z,,Bike Lane
286,1899,0.24,Backbone,Lane,De Soto Av,Victory Bl,El Rancho Dr,1325.73494026,2007-06-30T00:00:00.000Z,,Bike Lane
287,1900,0.85,Backbone,Lane,De Soto Av,El Rancho Dr,Burbank Bl,917.79881395,2005-01-01T00:00:00.000Z,,Bike Lane
288,1901,0.5,Backbone,Lane,Devonshire St,Hayvenhusrt Av,Woodley Av,2640.69437846,2005-01-01T00:00:00.000Z,,Bike Lane
289,1902,0.49,Backbone,Lane,Devonshire St,Woodley Av,Haskell Av,2640.32388608,2006-06-30T00:00:00.000Z,,Bike Lane
290,1903,0.35,Backbone,Lane,Harbor Bl,I-110 Fwy,3rd St,5331.30093671,2005-01-01T00:00:00.000Z,,Bike Lane
291,1904,1.08,Backbone,Lane,Harbor Bl,3rd St,22nd St,7069.92132984,2007-06-30T00:00:00.000Z,,Bike Lane
292,1905,4.5,Green,Path,LA River Path,Riverside Dr (at Zoo Dr),Fletcher Dr,24266.6864134,2005-01-01T00:00:00.000Z,,Bike Path
293,1906,2.6,Green,Path,LA River Path,Fletcher Dr,Barclay St,12959.2473683,2010-12-06T00:00:00.000Z,,Bike Path
294,1907,0.82,Neighborhood,Lane,Oxnard St,Topanga Cyn Bl,De Soto Av,6653.81072959,2007-06-30T00:00:00.000Z,,Bike Lane
295,1908,1.23,Neighborhood,Lane,Oxnard St,De Soto Av,Winnetka Av,6334.4042181,2003-11-05T00:00:00.000Z,,Bike Lane
296,1909,0.12,Backbone,Lane,Laurel Canyon Bl,Hamlin St,Kittridge St,661.14242432,2006-06-30T00:00:00.000Z,,Bike Lane
297,1910,0.3,Backbone,Lane,Laurel Canyon Bl,Kittridge St,Vanowen St,1321.44333928,2005-01-01T00:00:00.000Z,,Bike Lane
298,1911,0.38,Backbone,Lane,Laurel Canyon Bl,Vanowen St,Sherman Way,2428.08343123,2009-06-30T00:00:00.000Z,,Bike Lane
299,1912,1.8,Backbone,Lane,Laurel Canyon Bl,Sherman Way,Peoria St,10891.6163646,2005-01-01T00:00:00.000Z,,Bike Lane
300,1913,0.21,Neighborhood,Lane,Weymouth Av,9th Street,Weymouth Ave,1258.97385808,2012-05-06T00:00:00.000Z,,Bike Lane
301,1914,0.6, ,Lane,13th St,Weymouth Ave,Alma St,2907.14415729,2012-05-06T00:00:00.000Z,,Bike Lane
302,1915,1.2, ,Lane,Via Marisol,Monterey Rd,Lomitas Dr,1114.25400058,2012-05-13T00:00:00.000Z,,Bike Lane
303,1916,0.8,Backbone,Lane,Polk St,San Fernando Rd,Glenoaks Bl,4029.33632273,2012-05-13T00:00:00.000Z,,Bike Lane
304,1919,0.5,Backbone,Lane,120th St,Main St,Avalon Bl,2640.13972399,2012-05-13T00:00:00.000Z,,Bike Lane
305,1922,0.4,Backbone,Lane,Lorena St,3rd St,Cesar E Chavez Av,2196.93485246,2012-05-20T00:00:00.000Z,,Bike Lane
306,1923,1.5,Backbone,Route,Lorena St,Grande Vista Av,3rd St,8421.7027466,2005-01-01T00:00:00.000Z,,Bike Route
307,1924,0.8,Backbone,Lane,Summerland Av,Western Av,Gaffey St,5128.85563314,2012-05-20T00:00:00.000Z,,Bike Lane
308,1925,1.6, ,Lane,Vineland Av,Vanowen St,Sunland Bl,8575.48994048,2012-05-21T00:00:00.000Z,,Bike Lane
309,1927,2.1,Backbone,Lane,Huntington Dr,Esmeralda St,Maycrest Av,15669.6604941,2012-06-30T00:00:00.000Z,,Bike Lane
310,1928,0.22, ,Lane,Fair Park Av,Eagle Rock Bl,Maywood Av,1219.72165668,2011-03-15T00:00:00.000Z,,Bike Lane
311,1929,1.7,Backbone,Lane,Winnetka Av,Devonshire St,Nordhoff St,9252.52830528,2012-06-10T00:00:00.000Z,,Bike Lane
312,1931,0.6,Backbone,Lane,1st St,Grand Av,San Pedro St,4291.24590959,2012-06-30T00:00:00.000Z,,Bike Lane
313,1933,0.5, ,Lane,Los Angeles St,1st St,Alameda St,2467.14668308,2012-06-10T00:00:00.000Z,,Bike Lane
314,1934,0.5, ,Lane,2nd Ave,48th St,54th St,4957.7818362,2012-05-27T00:00:00.000Z,,Bike Lane
315,1935,1.4,Backbone,Lane,Main St,9th St,Cesar E Chavez,10498.2582899,2012-06-30T00:00:00.000Z,,Bike Lane
316,1937,1.01, ,Lane,Figueroa. St,El Segundo Bl,Rosecrans Av,5287.28609112,2012-06-03T00:00:00.000Z,,Bike Lane
317,1939,0.3,Backbone,Lane,Paseo Del Mar,Western Av,White Point State Park Entrance,1225.61854493,2005-01-01T00:00:00.000Z,,Bike Lane
318,1940,1.34,Backbone,Lane,Paseo Del Mar,Weymouth Av,Gaffey St,6524.41629652,2005-01-01T00:00:00.000Z,,Bike Lane
319,1941,0.1,Backbone,Path,Century Bl,Clovis Av,Central Av,719.65545684,2005-01-01T00:00:00.000Z,,Bike Path
320,1943,2.1,Backbone,Lane,Vermont Av,88th St,116th Pl (105 Fwy),10864.504091,2012-04-26T00:00:00.000Z,,Bike Lane
321,1945,2.2,Backbone,Lane,Vermont Av,120th St,Redondo Beach Bl,11364.6348425,2012-06-03T00:00:00.000Z,,Bike Lane
322,1966,0.4,Neighborhood,Lane,Waterfront Dr,S Campus Center Dr,Artisans Way,2099.35126,2005-01-01T00:00:00.000Z,,Bike Lane
323,1967,1.4,Neighborhood,Lane,Bluff Creek Dr,Dawn Creek,Centinela Av,7298.36731276,2005-01-01T00:00:00.000Z,,Bike Lane
324,1968,0.1,Neighborhood,Lane,Artisans Way,E Waterfront Dr,W Bluff Creek Dr,513.40191637,2005-01-01T00:00:00.000Z,,Bike Lane
325,1969,4.1,Green,Path,Orange Line Ext Path,Canoga Busway Station,Lassen St,22084.0713847,2012-06-30T00:00:00.000Z,,Bike Path
326,1971,0.7, ,Lane,Broad Av,Avalon Bl,Anaheim St,3942.05920803,2012-08-18T00:00:00.000Z,,Bike Lane
327,1972,1.3,Neighborhood,Lane,Wilbur Av,Rinaldi St,Tampa Av,7114.75487551,2012-09-07T00:00:00.000Z,,Bike Lane
328,1973,0.5, ,Lane,Zelzah Av,Lassen St,Devonshire St,2530.12772626,2012-09-09T00:00:00.000Z,,Bike Lane
329,1974,0.9, ,Lane,Tampa Av,Devonshire St,Nashville St,9569.70468959,2012-09-12T00:00:00.000Z,,Bike Lane
330,1975,0.8, ,Bicycle Friendly Street,Yucca St,Highland Av,Vine St,3807.87974277,2012-09-07T00:00:00.000Z,,Bicycle Friendly Street
331,1977,0.5,Backbone,Lane,Woodman Av,Devonshire St,Chatsworth St,2685.38543403,2012-09-23T00:00:00.000Z,,Bike Lane
332,1978,1.2, ,Lane,Olive St,Washington Bl,7th St,6383.24131259,2012-09-23T00:00:00.000Z,,Bike Lane
333,1979,1.3, ,Lane,Grand Ave,Wilshire Bl,Washington Bl,6747.71259324,2012-09-23T00:00:00.000Z,,Bike Lane
334,1980,0.8, ,Lane,Mason Av,Trentino Ln,Sesnon Bl,4388.52376968,2005-01-01T00:00:00.000Z,,Bike Lane
335,1981,0.2, ,Route,Odin St,Cahuenga Bl,N Highland Av,979.27062746,2005-01-01T00:00:00.000Z,,Bike Route
336,1982,0.1, ,Route,Av 45,N Figueroa St,Marmion Wy,539.81915763,2005-01-01T00:00:00.000Z,,Bike Route
337,1984,0.3,Backbone,Lane,Venice Bl,Pacific Bl,Venice Wy,1680.42317777,2005-01-01T00:00:00.000Z,,Bike Lane
338,1985,0.05,Backbone,Route,Westwood Bl,Santa Monica Bl,350' n/o Santa Monica Bl,475.99135238,2005-01-01T00:00:00.000Z,,Bike Route
339,1986,0.5,Backbone,Lane,Woodman Av,Vanowen St,Sherman Way,2643.54205049,2012-10-14T00:00:00.000Z,,Bike Lane
340,1987,0.5, ,Lane,Carson St,Western Av,Normandie Av,3563.22870393,2012-10-14T00:00:00.000Z,,Bike Lane
341,1988,0.7, ,Lane,Motor Av,Venice Bl,National Bl,3758.20345699,2012-10-26T00:00:00.000Z,,Bike Lane
342,1989,0.2, ,Lane,Colfax Av,Chiquita St,Ventura Bl,1194.95284705,2005-04-11T00:00:00.000Z,,Bike Lane
343,1990,0.8,Neighborhood,Lane,Colfax Av,Riverside Dr,Orange Line Path,3909.23631505,2006-06-16T00:00:00.000Z,,Bike Lane
344,1991,0.5, ,Lane,Glenoaks Bl,Brownell St,Paxon St,2523.77464394,2012-10-26T00:00:00.000Z,,Bike Lane
345,1992,0.7, ,Lane,Short Ave,Alla Rd,Centinela Bl,5787.43413964,2012-11-01T00:00:00.000Z,,Bike Lane
346,1993,0.3, ,Lane,Santa Monica Bl,Virgil Av,Manzanita St,1732.13899497,2012-11-11T00:00:00.000Z,,Bike Lane
347,1994,1.4,Neighborhood,Lane,8th St,Boyle Av,Olympic Bl,7583.40079015,2012-11-11T00:00:00.000Z,,Bike Lane
348,1996,0.1,Backbone,Lane,Reseda Bl,San Fernando Mission,Donmetz St,653.99290574,2010-05-19T00:00:00.000Z,,Bike Lane
349,1997,1, ,Lane,92nd St,Van Ness Av,Normandie Av,5297.39729297,2012-12-02T00:00:00.000Z,,Bike Lane
350,1998,1.5, ,Path,LA River Path,Winnetka Av,Vanalden Av,6811.01418362,2012-11-16T00:00:00.000Z,,Bike Path
351,1999,0.4, ,Lane,Laconia Bl,Vermont Av,Denver Ave,2850.9477103,2012-12-05T00:00:00.000Z,,Bike Lane
352,2000,0.8, ,Lane,Huntington Dr South,Tourmaline St,Alley W/O Minto Ct,4099.40991458,2012-12-09T00:00:00.000Z,,Bike Lane
353,2001,0.5, ,Lane,Opp St,Fries Av,Banning Bl,2109.24157245,2012-12-12T00:00:00.000Z,,Bike Lane
354,2002,0.3, ,Lane,Central Av,Century Bl,95th St,1668.09714148,2012-12-16T00:00:00.000Z,,Bike Lane
355,2003,0.3, ,Lane,Degnan Bl,43rd St,MLK Bl,3587.3214595,2012-12-16T00:00:00.000Z,,Bike Lane
356,2004,0.7, ,Lane,San Pascual Av,York Bl,Comet St,3613.16346332,2012-12-16T00:00:00.000Z,,Bike Lane
357,2005,0.5, ,Lane,Ave 66,York Bl,Meridian St,2878.26038534,2012-12-16T00:00:00.000Z,,Bike Lane
358,2006,0.2, ,Route,San Pascual Av,Comet St,San Ramon Dr,1105.26725058,2005-01-01T00:00:00.000Z,,Bike Route
359,2007,1.55,Backbone,Lane,Silver Lake Bl,Reservoir St,Glendale Bl,8229.12174888,2005-01-01T00:00:00.000Z,,Bike Lane
360,2008,0.5, ,Lane,White Oak Av,Victory Bl,Vanowen St,2640.78677556,2012-11-20T00:00:00.000Z,,Bike Lane
361,2010,0.5, ,Lane,Burbank Bl,Hazeltine Av,Woodman Av,2641.2712504,2012-06-03T00:00:00.000Z,,Bike Lane
362,2011,2.1, ,Lane,Burbank Bl,Ventura Canyon Av,Radford Av,11168.577808,2012-06-03T00:00:00.000Z,,Bike Lane
363,2012,0.1, ,Sharrowed Route,Burbank Bl,Woodman Av,Ventura Canyon Av,660.21603991,2012-06-03T00:00:00.000Z,,Sharrowed Bike Route
364,2013,0.1, ,Route,Parkman Av,Sunset Bl,Silver Lake Bl,714.6411972,2005-01-01T00:00:00.000Z,,Bike Route
365,2014,0.5, ,Lane,Neptune Ave,C St,Anaheim St,2644.67699,2012-12-21T00:00:00.000Z,,Bike Lane
366,2015,0.5, ,Lane,Wilmington Bl,C St,Anaheim St,2645.19511979,2012-12-20T00:00:00.000Z,,Bike Lane
367,2016,0.5, ,Lane,Ave 28,N Figueroa St,Pepper Av,2542.5359014,2012-12-23T00:00:00.000Z,,Bike Lane
368,2017,0.5, ,Lane,Forest Av,Cesar Chavez,Wabash Av,2619.22052789,2012-12-22T00:00:00.000Z,,Bike Lane
369,2018,0.9, ,Lane,Foothill Bl,Haines Canyon Av,Lowell Av,4647.32989854,2013-01-03T00:00:00.000Z,,Bike Lane
370,2019,2.1, ,Lane,Foothill Bl,Sunland Bl,Hillhaven Av,10915.7205431,2013-01-03T00:00:00.000Z,,Bike Lane
371,2020,0.8, ,Lane,Ventura Bl,Woodlake Av,Sale Av,4017.15873834,2012-12-27T00:00:00.000Z,,Bike Lane
372,2021,1.5, ,Lane,Van Nuys Bl,San Fernando Rd,Foothill Bl,8154.45281922,2012-12-28T00:00:00.000Z,,Bike Lane
373,2022,0.3, ,Lane,San Vicente Bl,La Brea Av,Pico Bl,3210.99428,2012-12-20T00:00:00.000Z,,Bike Lane
374,2023,0.3, ,Sharrowed Route,New Hampshire Av,4th St,6th St,1369.99266869,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
375,2027,1.51,Neighborhood,Sharrowed Route,Astoria St,San Fernando Rd,Foothill Bl,7988.96762972,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
376,2028,0.09,Backbone,Route,Shepard St,Gaffey St,S Carolina Pl,495.16471891,2005-01-01T00:00:00.000Z,,Bike Route
377,2029,0.28,Backbone,Lane,Shepard St,S Carolina Pl,Pacific Av,825.12667407,2005-01-01T00:00:00.000Z,,Bike Lane
378,2030,1.3,Backbone,Lane,Brand Bl,Sepulveda Bl,JEO Acala St (City Limit),14063.110263,2013-01-18T00:00:00.000Z,,Bike Lane
379,2031,0.7, ,Lane,Tujunga Av,Ventura Bl,Moorpark St,3812.96038305,2013-01-18T00:00:00.000Z,,Bike Lane
